,ags,name
0,10010000000,"Flensburg, Stadt"
3,10020000000,"Kiel, Landeshauptstadt"
6,10030000000,"Lübeck, Hansestadt"
9,10040000000,"Neumünster, Stadt"
12,10510011011,"Brunsbüttel, Stadt"
14,10510044044,"Heide, Stadt"
16,10515163003,Averlak
17,10515163010,Brickeln
18,10515163012,Buchholz
19,10515163016,Burg (Dithmarschen)
20,10515163022,Dingen
21,10515163024,Eddelak
22,10515163026,Eggstedt
23,10515163032,Frestedt
24,10515163037,Großenrade
25,10515163051,Hochdonn
26,10515163064,Kuden
27,10515163089,Quickborn
28,10515163097,Sankt Michaelisdonn
29,10515163110,Süderhastedt
31,10515166021,Diekhusen-Fahrstedt
32,10515166034,Friedrichskoog
33,10515166046,Helse
34,10515166057,Kaiser-Wilhelm-Koog
35,10515166062,Kronprinzenkoog
36,10515166072,"Marne, Stadt"
37,10515166073,Marnerdeich
38,10515166076,Neufeld
39,10515166077,Neufelderkoog
40,10515166090,Ramhusen
41,10515166103,Schmedeswurth
42,10515166118,Trennewurth
43,10515166119,Volsemenhusen
45,10515169005,Barkenholm
46,10515169008,Bergewöhrden
47,10515169019,Dellstedt
48,10515169020,Delve
49,10515169023,Dörpling
50,10515169030,Fedderingen
51,10515169035,Gaushorn
52,10515169036,Glüsing
53,10515169038,Groven
54,10515169047,Hemme
55,10515169049,Hennstedt
56,10515169052,Hövede
57,10515169053,Hollingstedt
58,10515169058,Karolinenkoog
59,10515169060,Kleve
60,10515169061,Krempel
61,10515169065,Lehe
62,10515169068,Linden
63,10515169071,Lunden
64,10515169080,Norderheistedt
65,10515169088,Pahlen
66,10515169092,Rehm-Flehde-Bargen
67,10515169096,Sankt Annen
68,10515169100,Schalkholz
69,10515169102,Schlichting
70,10515169114,Tellingstedt
71,10515169117,Tielenhemme
72,10515169120,Wallen
73,10515169125,Welmbüttel
74,10515169131,Westerborstel
75,10515169133,Wiemerstedt
76,10515169136,Wrohm
77,10515169139,Süderdorf
78,10515169141,Süderheistedt
80,10515172048,Hemmingstedt
81,10515172067,Lieth
82,10515172069,Lohe-Rickelshof
83,10515172075,Neuenkirchen
84,10515172081,Norderwöhrden
85,10515172082,Nordhastedt
86,10515172087,Ostrohe
87,10515172107,Stelle-Wittenwurth
88,10515172113,Wöhrden
89,10515172122,Weddingstedt
90,10515172130,Wesseln
92,10515175001,Albersdorf
93,10515175002,Arkebek
94,10515175004,Bargenstedt
95,10515175006,Barlt
96,10515175015,Bunsoh
97,10515175017,Busenwurth
98,10515175027,Elpersbüttel
99,10515175028,Epenwöhrden
100,10515175039,Gudendorf
101,10515175054,Immenstedt
102,10515175063,Krumstedt
103,10515175074,"Meldorf, Stadt"
104,10515175078,Nindorf
105,10515175083,Odderade
106,10515175085,Offenbüttel
107,10515175086,Osterrade
108,10515175098,Sarzbüttel
109,10515175099,Schafstedt
110,10515175104,Schrum
111,10515175126,Wennbüttel
112,10515175134,Windbergen
113,10515175135,Wolmersdorf
114,10515175137,Nordermeldorf
115,10515175138,Tensbüttel-Röst
117,10515178013,Büsum
118,10515178014,Büsumer Deichhausen
119,10515178033,Friedrichsgabekoog
120,10515178043,Hedwigenkoog
121,10515178045,Hellschen-Heringsand-Unterschaar
122,10515178050,Hillgroven
123,10515178079,Norddeich
124,10515178084,Oesterdeichstrich
125,10515178093,Reinsbüttel
126,10515178105,Schülp
127,10515178108,Strübbel
128,10515178109,Süderdeich
129,10515178121,Warwerort
130,10515178127,"Wesselburen, Stadt"
131,10515178128,Wesselburener Deichhausen
132,10515178129,Wesselburenerkoog
133,10515178132,Westerdeichstrich
134,10515178140,Oesterwurth
137,10530032032,"Geesthacht, Stadt"
139,10530083083,"Lauenburg/ Elbe, Stadt"
141,10530090090,"Mölln, Stadt"
143,10530100100,"Ratzeburg, Stadt"
145,10530116116,"Schwarzenbek, Stadt"
147,10530129129,Wentorf bei Hamburg
149,10535308008,Behlendorf
150,10535308009,Berkenthin
151,10535308011,Bliestorf
152,10535308024,Düchelsdorf
153,10535308034,Göldenitz
154,10535308061,Kastorf
155,10535308067,Klempau
156,10535308075,Krummesse
157,10535308094,Niendorf bei Berkenthin
158,10535308103,Rondeshagen
159,10535308120,Sierksrade
161,10535313002,Alt Mölln
162,10535313005,Bälau
163,10535313013,Borstorf
164,10535313014,Breitenfelde
165,10535313037,Grambek
166,10535313056,Hornbek
167,10535313084,Lehmrade
168,10535313095,Niendorf/ Stecknitz
169,10535313113,Schretstaken
170,10535313125,Talkau
171,10535313134,Woltersdorf
173,10535318010,Besenthal
174,10535318015,Bröthen
175,10535318020,Büchen
176,10535318029,Fitzen
177,10535318035,Göttin
178,10535318046,Gudow
179,10535318048,Güster
180,10535318064,Klein Pampau
181,10535318080,Langenlehsten
182,10535318092,Müssen
183,10535318104,Roseburg
184,10535318115,Schulendorf
185,10535318119,Siebeneichen
186,10535318126,Tramm
187,10535318132,Witzeeze
189,10535323003,Aumühle
190,10535323012,Börnsen
191,10535323023,Dassendorf
192,10535323028,Escheburg
193,10535323050,Hamwarde
194,10535323053,Hohenhorn
195,10535323072,Kröppelshagen-Fahrendorf
