"","area","heat"
"1","010010000000","325.693711860508"
"2","010020000000","324.009176328312"
"3","010030000000","321.466737084063"
"4","010040000000","318.044392324749"
"5","010510011011","316.52744143628"
"6","010510044044","324.400666518768"
"7","010515163003","312.068324891361"
"8","010515163010","291.827478865532"
"9","010515163012","311.515218623016"
"10","010515163016","310.841578237367"
"11","010515163022","305.111950631667"
"12","010515163024","313.848644067195"
"13","010515163026","298.688469919395"
"14","010515163032","305.948278575247"
"15","010515163037","306.431536869957"
"16","010515163051","312.383676019908"
"17","010515163064","325.717125172632"
"19","010515163097","316.69137514131"
"20","010515163110","309.883392663402"
"21","010515166021","305.635169571635"
"22","010515166034","300.924702674071"
"23","010515166046","293.350028181446"
"24","010515166057","302.196757272739"
"25","010515166062","312.298636118566"
"26","010515166072","320.265843811965"
"27","010515166073","302.206405712642"
"28","010515166076","329.434505327181"
"29","010515166077","312.071879138505"
"33","010515166119","333.53324792363"
"36","010515169019","297.156246363702"
"37","010515169020","294.563362715342"
"38","010515169023","300.831837762783"
"39","010515169030","283.174789698442"
"43","010515169047","301.03103964371"
"44","010515169049","315.569412469487"
"46","010515169053","299.781727011716"
"48","010515169060","297.048075825837"
"49","010515169061","312.900534118908"
"50","010515169065","307.285369035109"
"51","010515169068","302.620602820959"
"52","010515169071","327.928556748996"
"54","010515169088","311.352562540075"
"55","010515169092","334.264031513306"
"56","010515169096","320.219570535059"
"57","010515169100","305.467550650551"
"58","010515169102","297.152744909092"
"59","010515169114","317.242203009318"
"62","010515169125","314.304731732791"
"65","010515169136","308.131228048972"
"66","010515169139","326.860598407858"
"67","010515169141","304.132257390858"
"68","010515172048","319.20294636243"
"69","010515172067","312.540773003006"
"70","010515172069","309.825993317693"
"71","010515172075","315.700710848088"
"73","010515172082","309.229081529086"
"74","010515172087","305.737353742654"
"75","010515172107","334.176643570015"
"76","010515172113","310.161050188623"
"77","010515172122","318.129923091648"
"78","010515172130","297.406921855794"
"79","010515175001","313.717592212597"
"81","010515175004","311.142535626425"
"82","010515175006","295.489392066611"
"83","010515175015","302.482473701525"
"84","010515175017","327.064668185778"
"85","010515175027","302.308775214457"
"86","010515175028","318.209449166404"
"87","010515175039","316.899307239551"
"89","010515175063","329.60251716024"
"90","010515175074","312.137646616705"
"91","010515175078","309.787999146914"
"93","010515175085","323.92339860188"
"94","010515175086","312.541872964433"
"95","010515175098","299.048158533628"
"96","010515175099","319.126198891086"
"99","010515175134","320.401208048323"
"108","010515175137","302.86034973634"
"109","010515175138","317.515408066503"
"110","010515178013","318.254658780273"
"113","010515178043","324.57214733373"
"116","010515178079","317.56706494862"
"117","010515178084","290.046002709715"
"118","010515178093","327.90062121573"
"119","010515178105","306.569502112919"
"121","010515178109","325.086590830525"
"123","010515178127","315.546955623211"
"126","010515178132","308.830377281154"
"127","010515178140","305.163597566276"
"128","010530032032","316.331987702406"
"129","010530083083","316.86136490726"
"130","010530090090","313.720530279288"
"131","010530100100","322.276496936016"
"132","010530116116","314.990748685282"
"133","010530129129","309.315669736652"
"134","010535308008","345.866566487341"
