"","area","heat"
"1","051110000000","320.028624456084"
"2","051120000000","322.964436747901"
"3","051130000000","321.697826229139"
"4","051140000000","317.642357268019"
"5","051160000000","320.004688913992"
"6","051170000000","316.115447599949"
"7","051190000000","318.307293721498"
"8","051200000000","317.060057087001"
"9","051220000000","317.279722848156"
"10","051240000000","320.444693901992"
"11","051540004004","309.981475847414"
"12","051540008008","313.887653743686"
"13","051540012012","314.109626506732"
"14","051540016016","310.743480018254"
"15","051540020020","314.431296690592"
"16","051540024024","321.037801100931"
"17","051540028028","311.826876397143"
"18","051540032032","310.965609702298"
"19","051540036036","316.402752255231"
"20","051540040040","306.842270735388"
"21","051540044044","318.008590432086"
"22","051540048048","314.079701505061"
"23","051540052052","315.729211837412"
"24","051540056056","320.622590706535"
"25","051540060060","313.463554189131"
"26","051540064064","323.633885935848"
"27","051580004004","314.664537436711"
"28","051580008008","311.512882848458"
"29","051580012012","313.394874307337"
"30","051580016016","316.808945960973"
"31","051580020020","311.993613964973"
"32","051580024024","312.830623639276"
"33","051580026026","313.103629391111"
"34","051580028028","312.254016678209"
"35","051580032032","314.780815775579"
"36","051580036036","310.08071232088"
"37","051580036036","310.08071232088"
"38","051580036036","310.08071232088"
"39","051580036036","310.08071232088"
"40","051580036036","310.08071232088"
"41","051580036036","310.08071232088"
"42","051580036036","310.08071232088"
"43","051580036036","310.08071232088"
"44","051620004004","314.483639367529"
"45","051620008008","312.937467908593"
"46","051620012012","309.122211885627"
"47","051620016016","312.362560969241"
"48","051620020020","308.006493013705"
"49","051620022022","310.630065300419"
"50","051620024024","315.79439043488"
"51","051620028028","313.30583515873"
"52","051660004004","311.116824549463"
"53","051660008008","309.251033648098"
"54","051660012012","314.874828516336"
"55","051660016016","312.58217545481"
"56","051660020020","312.141093551041"
"57","051660024024","306.883907069099"
"58","051660028028","309.759703472397"
"59","051660032032","313.413832217441"
"60","051660036036","307.463936831446"
"61","051700004004","312.37367481718"
"62","051700008008","315.047817548702"
"63","051700012012","318.545325236212"
"64","051700016016","310.088203840517"
"65","051700020020","315.74148992613"
"66","051700024024","315.144161249579"
"67","051700028028","313.558762355181"
"68","051700032032","308.500048703203"
"69","051700036036","312.083194460487"
"70","051700040040","316.530111483355"
"71","051700044044","313.527168949444"
"72","051700048048","316.282227151509"
"73","051700052052","315.502546195999"
"74","053140000000","324.680150459731"
"75","053150000000","323.219027212924"
"76","053160000000","315.285809680293"
"77","053340002002","325.473840910941"
"78","053340004004","316.289114644206"
"79","053340008008","312.369024417819"
"80","053340012012","315.300664849697"
"81","053340016016","312.088223965436"
"82","053340020020","309.700878264745"
"83","053340024024","306.254413250893"
"84","053340028028","303.376541161735"
"85","053340032032","314.180779707464"
"86","053340036036","313.01979693631"
"87","053580004004","312.145237078613"
"88","053580008008","322.492834246334"
"89","053580012012","321.309435975457"
"90","053580016016","309.479421610969"
"91","053580020020","312.601929572969"
"92","053580024024","316.840675838955"
"93","053580028028","307.511009100722"
"94","053580032032","309.49151338059"
"95","053580036036","310.310844654746"
"96","053580040040","318.013102216843"
"97","053580044044","317.295866651426"
"98","053580048048","316.343491415974"
"99","053580052052","312.331468623765"
"100","053580056056","314.286459676657"
"101","053580060060","309.717828252153"
"102","053620004004","314.108291495263"
"103","053620008008","316.399230621723"
"104","053620012012","315.598056016742"
"105","053620016016","314.595708342008"
"106","053620020020","310.110987431229"
"107","053620024024","312.809185971541"
"108","053620028028","317.884196552446"
"109","053620032032","313.22544920743"
"110","053620036036","309.22526378495"
"111","053620040040","316.384293474984"
"112","053660004004","307.376363712816"
"113","053660008008","314.440786477981"
"114","053660012012","310.247159518408"
"115","053660016016","320.881455481397"
"116","053660020020","309.641978251511"
"117","053660024024","309.897369838402"
"118","053660028028","313.860019272557"
"119","053660032032","305.181593253469"
"120","053660036036","309.236225441943"
"121","053660040040","310.396994231726"
"122","053660044044","314.522592943887"
"123","053700004004","310.978068017368"
"124","053700008008","310.038250990027"
"125","053700012012","312.632892502953"
"126","053700016016","313.427230589829"
"127","053700020020","315.811132899489"
"128","053700024024","309.535866696145"
"129","053700028028","313.665444928046"
"130","053700032032","313.646783079594"
"131","053700036036","311.292814918457"
"132","053700040040","309.518666050518"
"133","053740004004","322.144771812366"
"134","053740008008","313.558679775563"
"135","053740012012","321.836135358137"
"136","053740016016","315.714795468399"
"137","053740020020","311.740174745067"
"138","053740024024","326.483032851567"
"139","053740028028","315.680963842038"
"140","053740032032","312.169472361774"
"141","053740036036","317.04622329502"
"142","053740040040","324.132561599528"
"143","053740040040","324.132561599528"
"144","053740040040","324.132561599528"
"145","053740040040","324.132561599528"
"146","053740040040","324.132561599528"
"147","053740040040","324.132561599528"
"148","053740040040","324.132561599528"
"149","053740040040","324.132561599528"
"150","053740044044","329.993220203397"
"151","053740048048","311.698098420106"
"152","053740052052","313.976066731579"
"153","053780004004","313.182683341834"
"154","053780008008","309.097477879728"
"155","053780012012","306.082689310809"
"156","053780016016","311.615453349069"
"157","053780020020","306.438991568378"
"158","053780024024","310.964979968587"
"159","053780028028","309.126409913308"
"160","053780032032","313.401260441743"
"161","053820004004","313.02486797361"
"162","053820008008","313.089522966088"
"163","053820012012","312.15530863275"
"164","053820016016","317.141950481777"
"165","053820020020","319.409275485465"
"166","053820024024","313.439485770644"
"167","053820028028","314.636904458973"
"168","053820032032","314.196460805046"
"169","053820036036","312.881363633236"
"170","053820040040","310.149015507045"
"171","053820044044","312.056731997627"
"172","053820048048","313.391306038294"
"173","053820052052","319.539929147595"
"174","053820056056","315.461231399856"
"175","053820060060","320.041093861507"
"176","053820064064","310.714766203764"
"177","053820068068","319.516301755142"
"178","053820072072","309.711212726559"
"179","053820076076","314.433004654747"
"180","055120000000","316.719071360488"
"181","055130000000","322.048257258836"
"182","055150000000","322.281548382832"
"183","055540004004","314.168980579953"
"184","055540008008","313.762916737857"
"185","055540012012","315.572449890976"
"186","055540016016","315.904546368013"
"187","055540020020","320.82335618348"
"188","055540024024","322.926104247803"
"189","055540028028","323.217083532932"
"190","055540032032","313.406537071538"
"191","055540036036","326.735481262454"
"192","055540040040","317.905291611458"
"193","055540044044","314.046355070069"
"194","055540048048","312.992131721242"
"195","055540052052","345.326596919587"
"196","055540056056","316.344697094144"
"197","055540060060","321.33709498971"
"198","055540064064","313.90403422862"
"199","055540068068","315.832953156414"
"200","055580004004","315.757049923218"
"201","055580008008","316.990788100932"
"202","055580012012","315.827633351382"
"203","055580016016","314.384259120074"
"204","055580020020","307.572925604091"
"205","055580024024","314.127198532042"
"206","055580028028","308.308949281883"
"207","055580032032","311.250376332387"
"208","055580036036","309.337278175953"
"209","055580040040","314.734643343952"
"210","055580044044","312.378935647278"
"211","055620004004","315.398830114424"
"212","055620008008","314.159364252603"
"213","055620012012","314.743941389455"
"214","055620014014","316.800235832757"
"215","055620016016","310.226879288938"
"216","055620020020","316.288619136568"
"217","055620024024","316.496581605581"
"218","055620028028","314.82951187852"
"219","055620032032","317.15515062113"
"220","055620036036","314.932154367076"
"221","055660004004","313.233416254709"
"222","055660008008","313.5487049523"
"223","055660012012","313.382487621791"
"224","055660016016","310.24364285641"
"225","055660020020","317.230886349711"
"226","055660024024","323.143679798842"
"227","055660028028","315.93726040403"
"228","055660032032","320.072627691532"
"229","055660036036","317.578024157315"
"230","055660040040","318.651239126662"
"231","055660044044","319.861649931866"
"232","055660048048","311.469455243775"
"233","055660052052","320.531445211258"
"234","055660056056","313.363323738785"
"235","055660060060","313.402270808337"
"236","055660064064","321.907595683242"
"237","055660068068","319.872524887878"
"238","055660072072","313.265836357004"
"239","055660076076","314.29889981196"
"240","055660080080","320.038548421107"
"241","055660084084","314.396119749029"
"242","055660088088","315.18995679111"
"243","055660092092","313.932335791482"
"244","055660096096","316.904349082959"
"245","055700004004","318.403923595929"
"246","055700008008","317.3275080906"
"247","055700012012","316.665798747837"
"248","055700016016","312.907205647999"
"249","055700016016","312.907205647999"
"250","055700016016","312.907205647999"
"251","055700016016","312.907205647999"
"252","055700016016","312.907205647999"
"253","055700016016","312.907205647999"
"254","055700016016","312.907205647999"
"255","055700016016","312.907205647999"
"256","055700020020","313.011673787818"
"257","055700024024","320.151254295823"
"258","055700028028","316.321474624589"
"259","055700032032","314.513819973251"
"260","055700036036","319.732928525278"
"261","055700040040","311.407020420741"
"262","055700044044","306.901599104054"
"263","055700048048","314.37056500903"
"264","055700052052","313.168511147981"
"265","057110000000","322.587939553203"
"266","057540004004","314.886158723785"
"267","057540008008","319.124830735237"
"268","057540012012","313.880035395268"
"269","057540016016","320.729925641215"
"270","057540020020","311.488310878696"
"271","057540024024","313.606270139889"
"272","057540028028","321.892865802092"
"273","057540032032","316.220522115959"
"274","057540036036","319.095653686299"
"275","057540040040","309.146738533842"
"276","057540044044","320.003140328594"
"277","057540048048","319.072030141124"
"278","057540052052","311.010271561896"
"279","057580004004","316.323644243233"
"280","057580008008","313.467176863365"
"281","057580012012","323.107292167443"
"282","057580016016","315.202403370002"
"283","057580020020","316.571627679847"
"284","057580024024","312.358383177454"
"285","057580028028","313.621689974305"
"286","057580032032","307.972342138288"
"287","057580036036","315.919868103686"
"288","057620004004","313.699215497538"
"289","057620008008","309.762669435412"
"290","057620012012","311.318523365283"
"291","057620016016","324.200556243582"
"292","057620020020","309.218255972085"
"293","057620024024","309.911963440052"
"294","057620028028","319.446700028901"
"295","057620032032","310.940778453885"
"296","057620036036","313.934414188389"
"297","057620040040","338.57330002641"
"298","057660004004","354.444303179281"
"299","057660008008","321.676292379047"
"300","057660012012","318.389010072594"
"301","057660016016","325.015627550888"
"302","057660020020","321.437504239883"
"303","057660024024","316.319279509866"
"304","057660028028","318.247025674206"
"305","057660032032","321.077095566749"
"306","057660036036","319.715047572637"
"307","057660040040","326.326210557409"
"308","057660044044","317.370812510176"
"309","057660048048","310.700435357733"
"310","057660052052","306.88087388377"
"311","057660056056","313.643681663636"
"312","057660060060","325.533425365843"
"313","057660064064","312.668063152797"
"314","057700004004","318.67036460935"
"315","057700008008","337.278934402346"
"316","057700012012","313.740172786921"
"317","057700016016","320.27871324655"
"318","057700020020","319.508811111466"
"319","057700024024","322.084502316457"
"320","057700028028","312.759844231834"
"321","057700032032","315.550883711862"
"322","057700036036","319.116794163598"
"323","057700040040","324.874840436886"
"324","057700044044","319.284751479619"
"325","057740004004","317.297361800706"
"326","057740008008","318.494933469654"
"327","057740012012","312.844871151733"
"328","057740016016","315.372491165765"
"329","057740020020","319.604542318316"
"330","057740024024","313.666500514762"
"331","057740028028","310.506606108214"
"332","057740032032","321.45026134612"
"333","057740036036","313.280690840209"
"334","057740040040","312.952515718985"
"335","059110000000","320.352072577725"
"336","059130000000","319.320326822011"
"337","059140000000","318.408337343932"
"338","059150000000","317.610991360347"
"339","059160000000","318.590652755179"
"340","059540004004","312.041348669278"
"341","059540008008","314.62597738642"
"342","059540012012","320.316584020286"
"343","059540016016","312.778088310848"
"344","059540020020","311.621609920067"
"345","059540024024","318.593060916138"
"346","059540028028","307.542056972155"
"347","059540032032","312.906693837861"
"348","059540036036","316.325088172052"
"349","059580004004","312.20397474498"
"350","059580008008","315.251535821365"
"351","059580012012","311.836208656699"
"352","059580016016","314.790261037215"
"353","059580020020","313.827399448011"
